year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,seasch,tract,meps_poverty_pct,meps_poverty_se,meps_poverty_ptl,meps_mod_poverty_pct,meps_mod_poverty_ptl,enrollment,read_test_pct_prof_midpt,math_test_pct_prof_midpt,grad_rate_midpt
mixed - most recent,370297002785,Torrence Creek Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-557,6212,9.5,0.47154,26,9.4,31,685,46,54,
mixed - most recent,370297003311,Trillium Springs Montessori,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-435,6105,10.3,1.069249,29,10.2,34,204,72,57,
mixed - most recent,370297001282,Tuckaseegee Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-562,6006,33.9,1.085013,99,33.8,94,581,31,34,
mixed - most recent,370297000871,Turning Point Academy,NC,Charlotte-Mecklenburg Schools,High,Other/alternative school,No,600-439,6006,31.1,1.025876,95,31,90,50,10,10,
mixed - most recent,370297000652,University Meadows Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-566,5609,31.4,1.031212,96,31.3,91,716,30,26,
mixed - most recent,370297001893,University Park Creative Arts,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-565,4600,35.1,1.076946,100,35,95,339,27,7.5,
mixed - most recent,370297003419,Vaughan Academy of Technology,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-475,5605,18.2,0.838345,56,18.1,59,344,47,32,
mixed - most recent,370297003466,Villa Heights Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-593,900,30.4,1.005073,93,30.3,89,122,34.5,24.5,
mixed - most recent,370297002660,Walter G. Byers School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-574,4900,35.5,1.064535,100,35.4,95,369,27,18,
mixed - most recent,370297001285,West Charlotte High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,600-576,4600,34.1,1.177688,100,34,94,1453,34,33,71
mixed - most recent,370297001286,West Mecklenburg High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,600-579,6006,31.3,0.983224,95,31.2,90,1211,35,42,74
mixed - most recent,370297001287,Westerly Hills Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-577,4000,32.4,0.987068,98,32.3,92,392,17,12,
mixed - most recent,370297003018,Whitewater Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-318,6005,32.1,1.012468,97,32,91,764,28,25,
mixed - most recent,370297003146,Whitewater Middle,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,600-317,6005,32.4,1.132756,98,32.3,92,748,25,24,
mixed - most recent,370297003175,William Amos Hough High,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,600-312,6405,1.9,0.662185,7,1.8,5,2470,81,83,94
mixed - most recent,370297003416,Williams Secondary Montessori,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,600-582,5100,12.3,1.235187,36,12.2,40,366,78,67,75
mixed - most recent,370297003468,Wilson STEM Academy,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,600-583,6006,32.6,1.107113,98,32.5,92,431,22,11,
mixed - most recent,370297001601,Winding Springs Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-586,5403,32,1.014263,97,31.9,91,742,24,21,
mixed - most recent,370297001290,Windsor Park Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-587,1606,33.3,0.985013,99,33.2,93,510,30,32,
mixed - most recent,370297002857,Winget Park Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-588,5909,11.8,1.016755,34,11.7,39,652,43,40,
mixed - most recent,370297001291,Winterfield Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-589,1702,33.4,0.994346,99,33.3,93,615,16,12,
