Summary level,Program label,Program,Sub-program,Name,Code,Subsidized units available,% Occupied,# Reported,% Reported,Average months since report,% moved in past year,Number of people per unit,Number of people: total,Average Family Expenditure per month ($$),Average HUD Expenditure per month ($$),Household income per year,Household income per year per person,"% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more",% Households where wages are major source of income,% Households where welfare is major source of income,% Households with other major sources of income,% of local median (Household income),% very low income,% extremely low income,% 2+ adults with children,% 1 adult with children,% female head,% female head with children,"% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households",% 24 years or less (Head or spouse),% 25 to 49 years (Head or spouse),% 51 to 60 (Head or spouse),% 62 or more (Head or spouse),% 85 or more (Head or spouse),% Minority,%Black Non-Hispanic, %Black Hispanic,%Native American Non-Hispanic,%Asian or Pacific Islander Non-Hispanic,% Hispanic,Average months on waiting list,Average months since moved in,% with utility allowance,Average utility allowance $$,% 0 - 1 bedrooms:,% 2 bedrooms,% 3+ bedrooms,% Overhoused,% in poverty (Census tract),% minority (Census tract),% single family owners (Census tract),Congressional District,CBSA,PLACE,Latitude,Longitude,State,PHA Total Units,HA category,%White Hispanic,%White Non-Hispanic,% Multiple Race,%Other Hispanic
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001100,37051001100,66,92,63,100,6,5,2.8,176,403,820,15652,5603,2,15,33,11,39,25,-1,60,26,90,68,2,56,95,57,38,69,20,3,62,14,21,3,97,92,2,2,-1,3,10,150,98,209,2,22,76,48,21,96,89,NA,22180,22920,NA,NA,NC,NA,NA,2,3,2,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001200,37051001200,392,95,377,100,6,14,1.9,703,279,648,11568,6204,10,9,53,13,15,11,2,73,22,97,76,1,32,76,32,26,20,14,4,35,12,49,4,89,78,1,1,1,8,12,88,80,140,43,24,33,27,41,80,55,NA,22180,22920,NA,NA,NC,NA,NA,4,9,4,3
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001401,37051001401,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,22920,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001402,37051001402,58,92,56,100,5,7,1.9,104,340,833,12718,6848,2,10,48,21,19,16,-1,70,23,95,73,-1,38,80,38,53,94,39,-1,43,29,29,2,93,82,2,-1,4,7,10,128,98,180,5,48,46,57,38,79,45,NA,22180,22920,NA,NA,NC,NA,NA,5,7,4,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001500,37051001500,15,92,14,100,5,-1,2.6,36,418,833,17596,6843,-1,-1,54,15,31,29,-1,64,28,93,71,-1,64,93,64,50,100,28,-1,64,7,29,-1,100,100,-1,-1,-1,0,-1,137,100,188,7,29,64,57,12,57,67,NA,22180,99999,NA,NA,NC,NA,NA,-1,-1,14,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001603,37051001603,159,95,154,100,6,12,2.9,443,270,686,11639,4046,33,8,26,12,21,30,1,63,19,93,79,3,69,89,67,16,50,7,8,69,12,10,-1,94,86,1,1,-1,6,10,87,100,142,16,32,51,7,26,61,71,NA,22180,99999,NA,NA,NC,NA,NA,1,5,0,4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001604,37051001604,41,92,39,100,6,10,2.3,90,322,830,12959,5616,3,6,60,14,17,26,-1,64,23,100,79,3,33,87,31,47,78,26,-1,46,31,23,3,90,87,-1,-1,-1,3,11,131,100,181,3,51,46,49,20,70,58,NA,22180,32640,NA,NA,NC,NA,NA,3,10,5,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001605,37051001605,30,93,29,100,5,7,1.5,43,301,763,12453,8399,11,-1,67,7,15,10,-1,83,24,97,83,-1,24,69,24,63,77,47,3,31,21,45,3,83,76,3,3,-1,3,4,162,83,132,31,52,17,45,20,53,68,NA,22180,32640,NA,NA,NC,NA,NA,-1,17,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001606,37051001606,22,92,21,100,5,10,3.1,66,337,833,13871,4413,6,6,41,12,35,33,-1,48,23,95,67,-1,67,100,67,28,33,12,-1,67,19,14,5,90,86,-1,-1,-1,5,13,106,100,176,5,33,62,29,15,61,68,NA,22180,32640,NA,NA,NC,NA,NA,-1,10,5,5
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001701,37051001701,37,93,36,100,4,6,3,107,440,813,15869,5339,13,3,30,7,47,31,3,50,26,81,61,3,69,94,72,25,50,13,-1,75,14,11,3,100,97,-1,-1,-1,3,21,109,100,218,-1,11,89,39,29,56,91,NA,22180,22920,NA,NA,NC,NA,NA,3,-1,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001702,37051001702,15,93,14,100,4,7,3.1,44,391,818,15836,5039,27,-1,18,18,36,50,-1,29,23,86,71,14,79,86,79,15,-1,5,7,86,-1,7,-1,100,100,-1,-1,-1,0,-1,100,100,215,-1,7,93,29,19,72,73,NA,22180,99999,NA,NA,NC,NA,NA,-1,-1,21,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001800,37051001800,87,95,84,100,6,13,1.9,161,354,771,14842,7744,3,8,52,8,29,25,1,61,27,90,69,1,33,86,35,37,81,29,4,39,25,32,1,90,83,1,1,1,5,10,119,100,184,4,58,38,61,27,51,74,NA,22180,22920,NA,NA,NC,NA,NA,4,10,2,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001901,37051001901,14,92,13,100,5,-1,3.7,48,465,825,18832,5100,8,25,17,-1,50,62,8,23,29,85,54,-1,92,100,92,15,-1,8,-1,92,8,-1,-1,100,92,8,-1,-1,8,-1,93,100,221,-1,15,85,8,22,56,74,NA,22180,32640,NA,NA,NC,NA,NA,-1,-1,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001902,37051001902,44,93,42,100,5,7,3.1,129,476,818,17744,5777,8,13,30,13,38,45,-1,50,28,86,67,2,62,93,62,28,50,12,2,62,21,14,-1,98,90,-1,2,-1,5,5,141,100,215,2,7,90,40,21,64,88,NA,22180,22920,NA,NA,NC,NA,NA,2,2,0,2
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 001903,37051001903,64,93,61,100,6,8,2.6,156,376,760,13613,5323,4,11,47,17,21,21,-1,66,24,92,72,-1,51,85,48,34,93,24,3,54,20,23,-1,92,87,-1,3,-1,2,-1,133,100,181,23,11,66,30,26,58,75,NA,22180,99999,NA,NA,NC,NA,NA,2,8,8,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002001,37051002001,14,92,13,100,5,8,2.9,38,302,833,10320,3530,17,17,50,8,8,15,-1,77,17,100,92,-1,62,100,62,25,60,21,-1,62,-1,38,-1,100,100,-1,-1,-1,0,21,159,100,205,-1,23,77,54,22,67,41,NA,22180,22920,NA,NA,NC,NA,NA,-1,-1,8,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002002,37051002002,34,93,33,100,5,3,3.4,111,375,812,13756,4090,17,-1,21,17,46,42,-1,30,22,94,67,3,61,100,64,20,67,11,-1,67,24,9,-1,97,82,-1,3,-1,12,2,167,100,218,3,6,91,24,21,66,55,NA,22180,22920,NA,NA,NC,NA,NA,9,3,0,3
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002100,37051002100,51,95,50,100,4,12,1.6,78,315,749,12868,8249,9,7,51,16,18,16,2,72,25,98,70,-1,30,82,26,46,27,27,6,28,22,44,6,80,70,-1,2,2,6,17,137,100,148,42,52,6,22,15,55,52,NA,22180,22920,NA,NA,NC,NA,NA,4,20,0,2
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002200,37051002200,27,94,25,99,5,12,1.6,40,303,697,12041,7526,9,14,41,23,14,16,-1,72,23,96,68,-1,24,72,16,63,67,43,-1,52,24,24,-1,80,72,-1,4,-1,4,7,140,76,147,56,32,12,20,22,63,34,NA,22180,22920,NA,NA,NC,NA,NA,4,16,4,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002301,37051002301,105,95,101,100,5,18,2.1,215,301,744,12091,5680,6,10,48,12,23,28,1,48,21,93,74,1,46,85,46,33,92,21,5,58,24,13,-1,92,82,3,1,-1,9,9,90,96,177,10,53,37,40,41,77,41,NA,22180,22920,NA,NA,NC,NA,NA,5,8,5,1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002302,37051002302,26,92,25,100,5,16,2.2,56,310,829,13243,5912,-1,10,55,20,15,12,-1,68,22,96,76,8,24,64,32,33,86,30,-1,48,24,28,-1,100,96,-1,4,-1,0,1,101,100,174,20,36,44,36,31,70,51,NA,22180,22920,NA,NA,NC,NA,NA,-1,-1,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002401,37051002401,33,93,32,100,5,9,2.4,77,333,808,12192,5067,8,13,42,13,25,19,3,53,21,94,72,3,41,72,44,27,80,23,-1,47,22,31,-1,97,97,-1,-1,-1,0,5,165,100,186,13,22,66,44,48,87,40,NA,22180,22920,NA,NA,NC,NA,NA,-1,3,3,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002402,37051002402,43,92,41,100,5,5,1.9,77,452,833,18103,9639,5,3,32,22,38,27,-1,63,32,80,51,-1,37,78,32,43,92,35,-1,32,37,32,-1,100,100,-1,-1,-1,0,8,200,100,179,2,56,41,63,26,83,32,NA,22180,22920,NA,NA,NC,NA,NA,-1,-1,5,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002501,37051002501,102,93,98,100,5,8,2.7,269,401,817,14935,5441,11,6,39,9,35,33,1,48,25,88,67,4,51,88,50,21,88,14,-1,59,24,16,-1,98,91,1,-1,-1,7,19,147,100,203,5,11,84,40,18,73,74,NA,22180,22920,NA,NA,NC,NA,NA,6,2,2,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002503,37051002503,28,92,26,100,5,8,3.2,83,519,793,19552,6125,4,4,29,21,42,27,-1,65,30,88,54,8,54,73,50,37,57,16,4,50,19,27,-1,96,85,4,-1,-1,12,17,110,96,189,15,35,50,23,22,58,59,NA,22180,22920,NA,NA,NC,NA,NA,8,4,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002504,37051002504,34,92,33,100,5,3,3,98,331,835,13050,4394,7,15,41,7,30,21,-1,61,21,97,70,-1,67,91,67,29,50,14,-1,61,33,6,-1,91,91,-1,-1,-1,0,4,113,100,182,12,15,73,30,16,58,69,NA,22180,22920,NA,NA,NC,NA,NA,-1,9,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002505,37051002505,208,97,206,100,6,12,1.9,392,332,780,14005,7360,8,8,47,15,22,18,1,73,26,92,69,4,30,80,32,45,28,21,2,42,20,36,3,75,63,2,3,0,9,-1,94,92,179,51,26,23,10,31,64,46,NA,22180,22920,NA,NA,NC,NA,NA,4,14,4,2
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002506,37051002506,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,22920,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002600,37051002600,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,19740,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002701,37051002701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002702,37051002702,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002801,37051002801,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,64840,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002802,37051002802,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 002900,37051002900,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003002,37051003002,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003003,37051003003,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003004,37051003004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003102,37051003102,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003103,37051003103,21,92,20,100,6,5,3.1,62,448,833,17117,5522,6,6,33,17,39,30,-1,60,27,90,65,10,50,95,60,38,100,23,5,55,20,20,-1,90,80,-1,10,-1,0,-1,115,100,220,-1,10,90,45,20,55,86,NA,22180,32640,NA,NA,NC,NA,NA,-1,10,5,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003105,37051003105,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003106,37051003106,13,92,12,100,5,-1,2.8,34,378,833,14679,5181,10,10,40,-1,40,42,-1,42,24,92,67,-1,50,100,50,10,100,12,-1,50,33,17,-1,92,75,-1,-1,-1,17,-1,169,100,155,8,17,75,33,23,47,48,NA,22180,99999,NA,NA,NC,NA,NA,17,8,17,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003203,37051003203,93,92,89,100,6,11,2.9,254,335,824,13061,4577,13,19,24,7,37,28,1,47,22,87,75,2,66,89,65,24,80,13,1,75,18,6,-1,97,91,2,-1,-1,6,55,95,99,199,10,31,58,24,20,70,63,NA,22180,22920,NA,NA,NC,NA,NA,3,3,3,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003205,37051003205,30,93,29,100,5,-1,3.2,92,457,812,19205,6054,12,4,27,8,50,41,-1,48,30,86,48,-1,69,97,69,30,83,16,-1,72,7,21,-1,100,97,-1,-1,-1,3,-1,137,100,210,-1,10,90,38,10,73,86,NA,22180,22920,NA,NA,NC,NA,NA,3,-1,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003206,37051003206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003207,37051003207,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003208,37051003208,59,93,57,100,6,11,2.3,131,354,815,13414,5837,11,5,32,18,34,23,-1,54,24,84,67,-1,40,68,40,29,63,24,-1,49,23,28,-1,91,82,-1,-1,-1,9,9,121,100,174,33,9,58,28,18,73,57,NA,22180,22920,NA,NA,NC,NA,NA,9,9,2,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003209,37051003209,11,92,11,100,4,18,3.5,38,580,833,20274,5869,9,-1,45,9,36,64,9,27,31,73,64,-1,82,100,82,27,-1,13,-1,91,9,-1,-1,91,82,9,-1,-1,9,19,126,100,221,-1,9,91,18,17,64,81,NA,22180,22920,NA,NA,NC,NA,NA,-1,9,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003302,37051003302,143,94,138,100,6,9,2.5,340,362,807,15163,6155,6,11,44,11,29,27,-1,62,26,93,71,3,48,87,48,35,81,22,-1,56,21,23,1,94,90,1,1,1,3,15,127,99,180,7,33,59,41,34,84,42,NA,22180,22920,NA,NA,NC,NA,NA,1,6,1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003304,37051003304,61,92,58,100,5,7,2.8,160,369,821,15150,5492,15,13,25,10,38,33,-1,50,25,88,66,2,41,74,43,24,53,16,2,50,19,29,-1,88,86,-1,-1,-1,2,5,126,71,220,31,10,59,21,22,74,62,NA,22180,22920,NA,NA,NC,NA,NA,2,12,7,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003307,37051003307,21,93,20,100,5,5,3.6,72,476,807,18756,5210,12,-1,35,-1,53,30,-1,55,27,85,55,15,60,100,75,22,100,15,-1,80,10,10,5,95,90,-1,-1,-1,5,4,138,100,224,-1,-1,100,25,20,80,65,NA,22180,22920,NA,NA,NC,NA,NA,5,5,10,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003310,37051003310,91,93,87,100,6,7,2.7,239,375,819,13225,4814,8,9,42,6,35,25,-1,49,22,91,70,-1,70,97,68,27,89,17,1,69,20,10,-1,94,85,1,1,-1,8,9,125,100,196,2,24,74,32,16,77,63,NA,22180,22920,NA,NA,NC,NA,NA,7,6,2,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003311,37051003311,29,96,28,100,6,7,1.5,43,405,719,16138,10509,4,7,41,22,26,32,-1,64,31,86,54,-1,25,71,25,60,75,42,4,39,29,29,4,96,82,4,-1,-1,14,-1,101,100,128,18,75,7,46,15,79,6,NA,22180,22920,NA,NA,NC,NA,NA,4,4,0,7
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003312,37051003312,32,92,31,100,5,10,2.4,74,398,833,15785,6613,-1,8,27,31,35,29,-1,55,27,90,55,-1,61,87,58,22,75,20,3,58,13,26,-1,97,94,-1,-1,-1,3,-1,134,100,199,6,35,58,42,18,71,89,NA,22180,22920,NA,NA,NC,NA,NA,3,3,3,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003313,37051003313,15,92,14,100,5,-1,3.6,50,546,833,18941,5304,9,9,9,18,55,36,7,36,29,79,57,-1,71,100,71,8,100,8,-1,86,7,7,-1,100,93,-1,-1,-1,7,-1,156,100,228,-1,-1,100,36,10,80,86,NA,22180,22920,NA,NA,NC,NA,NA,7,-1,14,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003314,37051003314,42,92,40,100,4,5,2.9,116,427,828,17802,6139,6,9,40,9,37,30,-1,58,29,83,63,5,43,95,45,20,60,16,8,53,15,25,-1,93,78,3,3,3,10,9,150,98,184,8,20,73,40,16,77,73,NA,22180,22920,NA,NA,NC,NA,NA,8,8,8,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003315,37051003315,46,93,44,100,6,5,3.3,145,434,809,15090,4579,6,14,26,14,40,16,-1,64,24,91,61,-1,68,98,66,22,75,17,-1,64,18,18,2,93,84,-1,-1,-1,9,5,161,98,209,2,9,89,41,21,74,62,NA,22180,22920,NA,NA,NC,NA,NA,7,7,2,2
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003316,37051003316,16,92,15,100,5,-1,2.9,44,425,826,16244,5538,7,7,43,7,36,27,-1,67,26,93,67,7,53,87,60,47,-1,27,7,87,7,-1,-1,93,87,-1,-1,-1,7,-1,151,100,207,13,13,73,27,22,69,71,NA,22180,22920,NA,NA,NC,NA,NA,7,7,7,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003317,37051003317,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,22920,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003318,37051003318,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,22180,22920,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003401,37051003401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003403,37051003403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003404,37051003404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003408,37051003408,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003409,37051003409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Cumberland County 003410,37051003410,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
